Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6465de2d6f056b87bcb56e10,5eff00434e0633023ab50cd6,APPROVED,2023-05-18T08:13:46.733000Z,2023-05-18T08:35:41.903000Z,2023-05-18T09:21:32.742000,2023-05-18T08:35:42.289364Z,1316,CDMQN61K,33,"Afrikaans, English",27,Female,White,South Africa,South Africa,South Africa,Afrikaans,Yes,Full-Time
6465de71d854907c60cd06c3,607717eaae6e81fa5a889d7f,APPROVED,2023-05-18T08:15:32.442000Z,2023-05-18T08:23:20.461000Z,2023-05-18T11:54:53.004000Z,2023-05-18T08:23:22.131000Z,469,CDMQN61K,219,English,32,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6465de84dbcb5f9d4c033485,611d0021478df0cd072e35bb,APPROVED,2023-05-18T08:15:00.296000Z,2023-05-18T08:50:36.610000Z,2023-05-18T09:21:35.244000,2023-05-18T08:50:37.427167Z,2137,CDMQN61K,44,English,26,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
6465ee323dd115bb22796f08,61715a02a3c88f5fb082a424,REJECTED,2023-05-18T09:22:23.519000Z,2023-05-18T09:27:58.385000Z,2023-05-18T11:54:59.550000Z,2023-05-18T09:27:59.051000Z,335,CDMQN61K,144,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6465fce18baaaef4d99245a4,59646f5198cf77000106feb1,APPROVED,2023-05-18T10:24:37.858000Z,2023-05-18T10:45:19.732000Z,2023-05-18T11:54:23.597000,2023-05-18T10:45:20.293058Z,1242,CDMQN61K,323,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
