Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64637bb21d1879059ee4fddb,6101110100a15a630848bffc,APPROVED,2023-05-16T12:48:57.711000Z,2023-05-16T13:03:09.824000Z,2023-05-17T07:42:51.070000,2023-05-16T13:03:10.248387Z,853,CDMQN61K,76,English,22,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64637e214c56b7332b2e15b1,60a7847de6234bd18b486f77,REJECTED,2023-05-16T12:59:26.323000Z,2023-05-16T13:13:27.611000Z,2023-05-17T10:30:49.133000Z,2023-05-16T13:13:28.314000Z,842,CDMQN61K,69,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64638d2531b83ab62b16a140,6176b584db27cdcecc3896c8,APPROVED,2023-05-16T14:03:22.145000Z,2023-05-16T15:01:20.931000Z,2023-05-17T13:27:01.329000,2023-05-16T15:01:21.771439Z,3479,CDMQN61K,279,English,27,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6464b8226b752798484add0b,63b80a8b220f924d975670bc,APPROVED,2023-05-17T11:20:17.137000Z,2023-05-17T11:43:01.919000Z,2023-05-17T12:21:31.751000,2023-05-17T11:43:02.508558Z,1365,CDMQN61K,332,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6464be444d889b672786b7a6,5b88002a7bb9e90001f0703f,APPROVED,2023-05-17T11:45:13.481000Z,2023-05-17T11:54:51.809000Z,2023-05-17T12:22:12.458000,2023-05-17T11:54:52.363443Z,579,NOCODE,1313,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
