Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6464fb9e3fc9a9daa0cb7d00,61511845dc84f339bcba596a,REJECTED,2023-05-17T16:07:02.595000Z,2023-05-17T16:17:58.020000Z,2023-05-17T16:31:16.602000Z,2023-05-17T16:17:58.701000Z,656,CDMQN61K,25,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6464fbec7bdb289d908425f0,614b5ab17fe1c6fb77388929,APPROVED,2023-05-17T16:08:18.414000Z,2023-05-17T16:42:41.869000Z,2023-05-17T16:55:42.662000,2023-05-17T16:42:42.240849Z,2064,CDMQN61K,176,"Afrikaans, English",50,Male,Mixed,South Africa,South Africa,South Africa,English,No,Part-Time
6465015e5532068b72e96df6,612cecf6ebfcc62494f287eb,APPROVED,2023-05-17T16:31:29.890000Z,2023-05-17T16:52:02.752000Z,2023-05-17T16:55:44.947000,2023-05-17T16:52:03.419077Z,1233,CDQN61K,144,English,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64650ba16ec51d611a64783e,60ddb9501708b858e5d34ff5,APPROVED,2023-05-17T17:15:17.654000Z,2023-05-17T17:26:59.095000Z,2023-05-18T08:04:21.953000,2023-05-17T17:27:00.559669Z,702,CDMQN61K,230,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
