"Zeitstempel","Do you agree to the above terms? By clicking ‘I agree’ below, you consent that you are willing to answer the questions in this survey.","What is your Prolific ID?","How old are you? Fill in years in number (e.g., 28)","How would you describe your gender?","What is your nationality? Fill in all of them separated with commas, if multiple (e.g., ""German, Greek"").","In which country did you grow up, i.e., born in and/or spent most of your childhood? E.g., ""U.S.A.""","Which country would you account as your home-place, i.e., live in or spent most of your lifetime?  E.g., ""Germany"".","How familiar are you with Artificial Intelligence (AI)?","Have you heard of the term ""Explainable AI""?"
"2023/05/17 7:10:28 PM OESZ","I agree","62c5bf9536490dba6a9aa60d","33","Female","Mexican","Mexico","USA / Mexico","4","No"
"2023/05/17 7:17:26 PM OESZ","I agree","61511845dc84f339bcba596a","23","Male","South African","South Africa","South Africa","3","No"
"2023/05/17 7:37:16 PM OESZ","I agree","612cecf6ebfcc62494f287eb","23","Male","south african","south africa","south africa","5","Yes"
"2023/05/17 7:42:25 PM OESZ","I agree","614b5ab17fe1c6fb77388929","50","Male","South African","South Africa","South Africa","3","No"
"2023/05/17 7:51:36 PM OESZ","I agree","612cecf6ebfcc62494f287eb","23","Male","south african","south africa","south africa","5","Yes"
"2023/05/17 8:26:50 PM OESZ","I agree","60ddb9501708b858e5d34ff5","21","Female","British","UK","UK","3","No"
