Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6464d8d2ba82a86ad1560358,612cb47fbf91286d0b624e0d,APPROVED,2023-05-17T13:38:38.555000Z,2023-05-17T14:27:40.283000Z,2023-05-17T14:58:08.350000,2023-05-17T14:28:32.114088Z,2942,CDMQN61K,27,English,22,Female,White,Namibia,South Africa,South Africa,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6464d9213a0f7098dff58875,5debdf9af375c62d4876fa39,REJECTED,2023-05-17T13:39:45.208000Z,2023-05-17T14:03:31.991000Z,2023-05-17T14:26:03.154000Z,2023-05-17T14:05:40.681000Z,1427,NOCODE,788,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6464d94608b7a9f514c5d107,5640acc0074be600055e9afd,APPROVED,2023-05-17T13:40:25.956000Z,2023-05-17T14:02:24.740000Z,2023-05-17T14:25:40.172000,2023-05-17T14:03:40.366399Z,1319,CDMQN61K,429,English,32,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6464e3ffd68eb65ff92d5708,60bbc368a316ee5421a1153b,APPROVED,2023-05-17T14:26:15.902000Z,2023-05-17T15:12:52.963000Z,2023-05-17T15:17:27.280000,2023-05-17T15:13:29.373530Z,2798,CDMQN61K,395,English,28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
